1, 362998, 356087, 356050, 356168, 363141, 356134, 356134, 363037, 356126, 356140, 363101, 356116, 356111, 363013, 356117, 356209, 363164, 356130, 356125, 363202, 356122, 356125, 356165, 363076, 356112, 356142, 363018, 356079, 356126, 363017, 356090, 356151, 363125, 356181, 356221, 363062, 356203, 356337, 363281, 356312, 356229, 356292, 363179, 356280, 356252, 363100, 356145, 356155, 363014, 356109, 358380
10, 356832, 356827, 357031, 356833, 357078, 357178, 356854, 357090, 356964, 356958, 357174, 356903, 356839, 357140, 356925, 356887, 357148, 460328, 433932, 356827, 356919, 357198, 356888, 374927, 372414, 532534, 357187, 356913, 357010, 356846, 389232, 372643, 395083, 375204, 399901, 376901, 356901, 357244, 356963, 357185, 357033, 357009, 357137, 356999, 357043, 359810, 356924, 357103, 357066, 357048, 368180
20, 243483, 235844, 230010, 228286, 228368, 228198, 228582, 228187, 228341, 228264, 228246, 228348, 228384, 291050, 271174, 228590, 228666, 412701, 236665, 227840, 227879, 227491, 227880, 227691, 227910, 227473, 227342, 229822, 227657, 227494, 348294, 227690, 227473, 227323, 227352, 241855, 227439, 234806, 227435, 227681, 229574, 493533, 228200, 228496, 227967, 227849, 228041, 344465, 227981, 227794, 244982
30, 278465, 276577, 276407, 332458, 276461, 276414, 276494, 276351, 276472, 276431, 276701, 276267, 276371, 276301, 276489, 276429, 276641, 382970, 276292, 276255, 276265, 276310, 276633, 276204, 276468, 276260, 276283, 276582, 276309, 276286, 279689, 276243, 350884, 276318, 276336, 276154, 276121, 276155, 276285, 276319, 276208, 276236, 276200, 276135, 276658, 276408, 276086, 364056, 276147, 276543, 282961
40, 319983, 320278, 320030, 319924, 319994, 319918, 319914, 320588, 339226, 474231, 319873, 319958, 320859, 318858, 318968, 318869, 318943, 318871, 319026, 318797, 318772, 394197, 350508, 318887, 318782, 318948, 318760, 318722, 319398, 318729, 318645, 319071, 318694, 318667, 318688, 339759, 321078, 319430, 319861, 321540, 319081, 351310, 318727, 318687, 318670, 318722, 318646, 318694, 318599, 318718, 325962
50, 374597, 374668, 374600, 374500, 377808, 374511, 374480, 472304, 374578, 374721, 375123, 376745, 374990, 374541, 378075, 374532, 374497, 374524, 478012, 372719, 373099, 372663, 372684, 372656, 372744, 373292, 372680, 373012, 392643, 436141, 375754, 372664, 372503, 373349, 373280, 372696, 372648, 372608, 372824, 372587, 473574, 372595, 372552, 372847, 372545, 372559, 372563, 373093, 372586, 372629, 381412
60, 418171, 418047, 440638, 418035, 418336, 418389, 419156, 418843, 601000, 418365, 418381, 418300, 417992, 417992, 418017, 417827, 450706, 422413, 482639, 418491, 417979, 417887, 418336, 439429, 422414, 421325, 418387, 675905, 968790, 418389, 418092, 417909, 417916, 418048, 417812, 702179, 417777, 417868, 417806, 417802, 417832, 417996, 417969, 417927, 417752, 646204, 419550, 418100, 417676, 417828, 451252
70, 467256, 467255, 467142, 467095, 575422, 467208, 467170, 467187, 467783, 467107, 467237, 467374, 694743, 472805, 467125, 468707, 467272, 467128, 469536, 473548, 492904, 575796, 501226, 482092, 467585, 467587, 483753, 470849, 468076, 561361, 467423, 468751, 467467, 468304, 467417, 467375, 467512, 467443, 526676, 467368, 467374, 467633, 467472, 467166, 467734, 467278, 567194, 467540, 467522, 467257, 483545
80, 511768, 511670, 583186, 511717, 511803, 511826, 511761, 516338, 517047, 1020112, 530611, 817611, 514029, 657988, 517595, 514381, 613291, 513577, 513384, 513181, 550391, 519424, 512220, 511891, 613843, 511947, 512409, 512102, 513316, 512144, 511932, 659435, 739946, 513388, 512304, 512451, 535452, 526309, 512574, 797537, 512725, 517144, 512026, 511981, 511862, 511829, 542834, 686030, 516389, 511876, 556772
90, 575239, 568429, 690107, 569045, 568378, 568604, 1888165, 858006, 570497, 579396, 568426, 592251, 568328, 713400, 752931, 568298, 568403, 568368, 568373, 568194, 609510, 638213, 568248, 568213, 568639, 568664, 568358, 568162, 755197, 568305, 568347, 587365, 571679, 569331, 748256, 568314, 568662, 582093, 582720, 568489, 568262, 594520, 568736, 568506, 568630, 568997, 568348, 568739, 568329, 569630, 621646
100, 658181, 788755, 625030, 640277, 745578, 633751, 616322, 645274, 634492, 815680, 684543, 616193, 638585, 614820, 637553, 626696, 641432, 760791, 619627, 619539, 619992, 636029, 620008, 732570, 619924, 620499, 631890, 624323, 619956, 619587, 882674, 632574, 623123, 619311, 619399, 619739, 723299, 631962, 641378, 619519, 619387, 619364, 696722, 630223, 619773, 642115, 620792, 619734, 739383, 680165, 654171
