nq, Run1, Run2, Run3, Run4, Run5, Avg
1, 286521, 281862, 281654, 281475, 286552, 283613
5, 344799, 318413, 320157, 528983, 332156, 368902
10, 439870, 326243, 319979, 323437, 319863, 345878
15, 366428, 366967, 332704, 325086, 323137, 342864
20, 168432, 146683, 146653, 145839, 183035, 158128
25, 183687, 166021, 165567, 165583, 165472, 169266
30, 189274, 188929, 193371, 271609, 186962, 206029
35, 214121, 214603, 228978, 218070, 226446, 220444
40, 234637, 245458, 249986, 299043, 259650, 257755
45, 266577, 255521, 345246, 257522, 253822, 275738
50, 268733, 275518, 271806, 270838, 269925, 271364
55, 281980, 281715, 280765, 283174, 342798, 294086
60, 336450, 291104, 288515, 292741, 353577, 312477
65, 324217, 317133, 311016, 306025, 320032, 315685
70, 422135, 326584, 321956, 334835, 323531, 345808
75, 339003, 343629, 350742, 361241, 365587, 352040
80, 382230, 349629, 348506, 347621, 348571, 355311
85, 374029, 375657, 372520, 373994, 675909, 434422
90, 400764, 441141, 433044, 396210, 394284, 413089
95, 409607, 493833, 449303, 448986, 402024, 440751
100, 406588, 407318, 408198, 409579, 630397, 452416
