1, 3604, 3606, 3605, 3604, 3603, 3596, 3605, 3604, 3603, 3603, 3604, 3604, 3603, 3606, 3604, 3596, 3604, 3604, 3623, 3605, 3604, 3604, 3606, 3603, 3604, 3595, 11096, 9263, 6436, 4879, 4288, 4084, 3605, 3604, 3604, 3604, 3607, 3604, 3604, 3604, 3605, 3599, 3608, 3605, 3604, 3609, 3604, 3605, 3605, 3605, 3972.66
10, 7181, 7184, 7572, 7170, 7177, 7239, 7209, 7184, 7171, 7176, 7180, 7182, 7176, 7171, 7173, 7184, 7187, 7179, 7168, 7180, 7184, 7180, 7176, 7170, 7182, 17651, 23160, 7180, 7182, 7187, 7173, 7178, 7183, 7174, 7183, 7172, 7178, 7180, 7176, 7482, 7168, 7175, 7176, 7177, 7185, 7171, 7178, 7179, 7338, 7182, 7726.06
20, 7181, 7181, 7172, 7181, 7184, 7185, 7178, 7174, 7182, 7187, 7187, 7180, 7176, 7182, 7243, 7183, 7180, 7175, 7179, 7183, 7185, 7176, 7180, 7180, 7182, 7185, 7176, 7183, 7183, 7187, 7182, 7175, 7182, 7181, 7182, 7182, 7175, 7185, 7182, 7185, 7175, 7173, 7183, 7182, 7188, 7184, 7172, 7182, 7186, 7185, 7182.22
30, 7192, 7185, 7187, 7184, 7198, 7188, 7190, 7187, 7187, 7178, 7184, 7184, 7187, 7180, 7191, 7185, 7187, 7186, 7181, 7182, 7180, 7182, 7186, 7177, 7183, 7189, 7193, 7181, 7175, 7185, 7188, 7187, 7183, 7178, 7211, 7185, 7186, 7186, 7216, 11050, 7187, 7204, 7182, 7220, 7183, 7184, 7215, 7183, 7224, 7187, 7265.86
40, 8369, 8332, 8334, 8336, 8335, 8337, 8330, 8329, 9531, 9685, 8331, 8326, 8327, 8333, 8331, 8330, 8334, 8331, 8327, 8331, 8325, 8324, 8334, 8330, 8333, 8330, 8330, 8331, 8331, 8334, 8332, 8325, 8333, 8334, 8330, 8332, 8327, 8331, 8323, 8331, 8332, 8326, 8327, 8501, 8333, 8328, 8326, 8331, 8332, 8326, 8385.62
50, 36202, 28840, 14331, 14318, 14328, 14322, 14332, 14314, 14333, 14324, 14325, 14335, 14323, 14324, 14327, 14321, 14327, 14321, 14326, 15236, 14423, 14330, 14315, 14329, 14329, 14320, 14326, 14321, 14331, 14320, 14328, 14330, 14319, 14329, 14320, 14330, 14329, 14313, 14322, 14328, 14328, 14326, 14324, 14327, 14314, 14326, 14319, 14327, 14321, 14315, 15072.6
60, 14334, 14326, 14338, 14379, 14341, 14338, 14335, 14330, 14334, 14331, 14327, 14335, 14334, 14342, 14337, 14322, 14349, 14332, 14328, 14340, 14327, 16416, 14342, 14333, 14326, 14337, 14328, 14343, 14329, 14334, 14335, 14347, 14336, 14333, 14342, 14343, 14326, 14333, 14332, 14345, 14324, 14347, 14331, 14511, 14330, 14323, 14345, 14336, 14325, 14336, 14380.5
70, 16632, 16623, 16653, 16630, 16629, 16619, 16635, 16625, 16619, 16638, 16633, 16725, 16628, 16618, 16619, 16628, 16617, 16629, 16625, 16622, 16626, 16617, 16630, 16629, 16613, 16622, 16619, 16622, 16745, 16629, 16625, 16625, 16633, 16621, 16644, 16629, 16630, 16621, 16624, 16626, 16616, 16630, 16665, 16625, 16614, 18065, 30033, 39445, 42350, 34197, 18250.3
80, 16459, 16462, 16457, 16455, 16447, 16467, 16482, 16444, 16466, 16472, 16453, 16449, 16447, 16457, 16455, 16460, 16448, 16450, 16453, 16457, 16463, 16440, 16452, 16453, 16465, 16462, 16454, 16459, 16448, 16459, 16457, 16456, 16463, 16474, 16449, 16447, 16452, 16444, 16459, 16454, 16462, 25332, 19511, 16583, 16487, 16487, 16459, 16457, 16465, 16468, 16699.2
90, 21468, 21468, 21480, 21470, 21477, 21474, 21470, 28040, 21485, 21460, 21466, 21472, 21466, 21471, 21468, 21462, 21479, 21469, 21469, 21471, 21512, 21467, 26635, 26574, 26885, 21817, 21468, 24571, 26509, 21457, 21477, 21466, 21477, 21466, 21464, 23698, 21468, 21465, 21464, 21474, 21460, 21473, 21479, 31709, 28704, 31999, 31996, 27762, 21467, 21467, 23026.3
100, 21494, 21487, 31887, 37587, 31990, 28009, 24267, 21478, 21500, 21480, 21487, 21536, 21484, 21485, 21486, 21491, 21484, 21481, 21478, 21486, 21480, 21497, 21552, 21480, 21550, 21475, 21481, 21487, 21480, 21487, 21491, 21481, 21597, 21478, 21481, 21493, 21479, 21487, 21488, 21480, 21486, 21474, 21483, 21492, 21480, 21484, 22618, 25962, 32932, 32024, 22968.7
