1, 3599, 3594, 3606, 3600, 3599, 3600, 3600, 3600, 3600, 3599, 3600, 3594, 3598, 3608, 3601, 3606, 3610, 3607, 3600, 3601, 3600, 3609, 3595, 3600, 3600, 3608, 3601, 3601, 3601, 3607, 3601, 3600, 3595, 3606, 3600, 3600, 3611, 3767, 3605, 3600, 3611, 3600, 3601, 3600, 3606, 3600, 3601, 3599, 3600, 3599, 3604.92
10, 6096, 6096, 6095, 6100, 6101, 6100, 6102, 6106, 6104, 6196, 6110, 6103, 6103, 6098, 6105, 6092, 6107, 6104, 6104, 6096, 6101, 6098, 6102, 6095, 6102, 6091, 6111, 6096, 6099, 6093, 6100, 6102, 6100, 6104, 6104, 6105, 6103, 6100, 6096, 6099, 6094, 6097, 6095, 6101, 6104, 6108, 6096, 6105, 6101, 6101, 6102.42
20, 7185, 7189, 7188, 7186, 7180, 7188, 7190, 7188, 7185, 7177, 7183, 7194, 7188, 7186, 7177, 7182, 7189, 7185, 7241, 7173, 7181, 7185, 7184, 7180, 7174, 7181, 7188, 7187, 7179, 7186, 7177, 7183, 7185, 7173, 7183, 7181, 7181, 7183, 7171, 7185, 7180, 7182, 7181, 7176, 7187, 7183, 7189, 7185, 7174, 7191, 7184.18
30, 7185, 7177, 7183, 7189, 7189, 7186, 7176, 7183, 7300, 7184, 7184, 7175, 7187, 7180, 7186, 7186, 7177, 7188, 7184, 7182, 7185, 7175, 7185, 7184, 7193, 7186, 7218, 7187, 7186, 7190, 7185, 7179, 7187, 7187, 7186, 7183, 7181, 7189, 7185, 7183, 7186, 7176, 7185, 7182, 7190, 7183, 7177, 7186, 7186, 7183, 7186.98
40, 7194, 7188, 7178, 7185, 7185, 7187, 7187, 7228, 7356, 7187, 7191, 7188, 15228, 18455, 26735, 36109, 32004, 31999, 28003, 31987, 28000, 32012, 18318, 7185, 7187, 7188, 7201, 7186, 7183, 7190, 7202, 7178, 7241, 7188, 7191, 7190, 7177, 7189, 7195, 7187, 7187, 7178, 7184, 7186, 7183, 7187, 7182, 7185, 7187, 7197, 11588.4
50, 14326, 14315, 14329, 14318, 14323, 14328, 14319, 14331, 14321, 14326, 14325, 14318, 14319, 14313, 14328, 14314, 14329, 14322, 14313, 14328, 14312, 14328, 14313, 14358, 14355, 14323, 14326, 14319, 14326, 14321, 14316, 14322, 14318, 14321, 14312, 14322, 14321, 14317, 14323, 14317, 14330, 14321, 14317, 14323, 14320, 14329, 14321, 14325, 14326, 14314, 14322.8
60, 14351, 14345, 14347, 14396, 14352, 14347, 14348, 14353, 14349, 14349, 14352, 14349, 14508, 14356, 14351, 14353, 14347, 14352, 14356, 14344, 14351, 14342, 14353, 14349, 14349, 14355, 14346, 14352, 14347, 14353, 14356, 14353, 14353, 14347, 14351, 14357, 14348, 14353, 14339, 14354, 14345, 14355, 14354, 14354, 14347, 14403, 14357, 14472, 14347, 14360, 14358.1
70, 14354, 14351, 17174, 14374, 14346, 14361, 14344, 14347, 14352, 14339, 14347, 14342, 14355, 14382, 14336, 14343, 14351, 14350, 14340, 14348, 14356, 14357, 14350, 14344, 14342, 14350, 14343, 14367, 14344, 14363, 14385, 14334, 14344, 14344, 14346, 14342, 14357, 14357, 14341, 14347, 14340, 14363, 14351, 14342, 14356, 14618, 14358, 14346, 14341, 14345, 14412.2
80, 16448, 16432, 16436, 16449, 16441, 16451, 16452, 16441, 16445, 16439, 16436, 16435, 16436, 16439, 16446, 16446, 16441, 16452, 16442, 16440, 16436, 16439, 16430, 16459, 16438, 16441, 16438, 16444, 16440, 16439, 16453, 16440, 16446, 16441, 16440, 16436, 16431, 16437, 16437, 16444, 16437, 16461, 16451, 16440, 16441, 16434, 16437, 16445, 16440, 16437, 16441.6
90, 21462, 21462, 21465, 21471, 21461, 21463, 21466, 21455, 21591, 21469, 21461, 21464, 21463, 29370, 40352, 43699, 32660, 26029, 21468, 21463, 21469, 21474, 21469, 21472, 21476, 21472, 21471, 21473, 21468, 21469, 21461, 21467, 21469, 21461, 21468, 21466, 21468, 21472, 21471, 21461, 21472, 21466, 21468, 21468, 21459, 21465, 21468, 21459, 21473, 21463, 22764.6
100, 21491, 21485, 21478, 21492, 21549, 21490, 21580, 21475, 21486, 21473, 21474, 21499, 21508, 21495, 21495, 21478, 21491, 21475, 21471, 21494, 21480, 21474, 21481, 21472, 21495, 21495, 21474, 21486, 21474, 21485, 21487, 21475, 21480, 21488, 21477, 21479, 21472, 21480, 21512, 21476, 21479, 21484, 21482, 21509, 21747, 21482, 21644, 21502, 21489, 21481, 21496.4
