1, 106, 126, 101, 101, 101, 119, 120, 120, 106, 101, 100, 80, 120, 119, 101, 100, 100, 120, 100, 119, 121, 101, 100, 100, 120, 119, 120, 106, 119, 120, 119, 100, 120, 119, 128, 120, 101, 106, 101, 119, 111, 124, 124, 106, 111, 110, 120, 120, 106, 119, 111.4
5, 231, 229, 233, 223, 234, 222, 229, 229, 222, 223, 248, 227, 215, 219, 217, 219, 223, 216, 223, 220, 221, 219, 220, 220, 230, 229, 209, 208, 211, 211, 207, 204, 210, 216, 204, 213, 207, 210, 209, 208, 204, 212, 205, 200, 203, 203, 199, 201, 199, 202, 215.92
10, 197, 211, 200, 202, 203, 198, 205, 200, 195, 196, 194, 196, 203, 223, 208, 198, 198, 203, 204, 203, 196, 196, 196, 201, 194, 209, 203, 200, 201, 204, 200, 195, 197, 201, 207, 201, 202, 205, 209, 202, 194, 206, 202, 206, 201, 204, 200, 196, 205, 198, 201.36
15, 204, 204, 200, 196, 208, 203, 196, 202, 205, 198, 194, 207, 198, 197, 202, 200, 196, 206, 202, 201, 195, 206, 205, 204, 199, 205, 204, 199, 203, 203, 197, 208, 202, 200, 203, 196, 204, 197, 199, 202, 200, 204, 202, 199, 203, 202, 193, 197, 204, 204, 201.16
20, 223, 211, 213, 218, 222, 212, 221, 208, 217, 208, 216, 216, 217, 209, 205, 207, 214, 214, 211, 211, 233, 211, 206, 211, 210, 207, 217, 218, 220, 220, 211, 209, 208, 218, 221, 216, 209, 220, 215, 216, 210, 206, 205, 208, 212, 216, 232, 213, 211, 212, 213.88
25, 272, 261, 279, 279, 260, 258, 279, 274, 275, 273, 278, 267, 277, 259, 285, 273, 264, 274, 274, 279, 274, 259, 277, 281, 277, 269, 264, 269, 264, 273, 274, 274, 271, 282, 283, 280, 278, 275, 273, 273, 266, 277, 282, 272, 279, 277, 272, 274, 274, 272, 273.1
30, 296, 298, 313, 288, 311, 289, 312, 286, 290, 310, 295, 275, 289, 278, 295, 289, 290, 309, 299, 310, 291, 296, 316, 275, 295, 297, 303, 292, 291, 280, 292, 297, 310, 275, 290, 303, 289, 293, 281, 291, 266, 290, 309, 284, 291, 292, 277, 317, 312, 282, 293.98
35, 291, 306, 297, 312, 315, 317, 279, 283, 283, 278, 290, 292, 290, 294, 283, 282, 282, 296, 317, 299, 310, 283, 290, 298, 303, 311, 290, 311, 309, 289, 311, 311, 282, 317, 283, 292, 284, 311, 293, 296, 298, 291, 312, 291, 300, 306, 301, 290, 297, 317, 297.26
40, 293, 319, 296, 284, 282, 302, 299, 312, 309, 319, 288, 312, 313, 297, 292, 292, 290, 292, 291, 285, 298, 291, 291, 291, 313, 299, 293, 297, 311, 289, 290, 291, 291, 292, 283, 325, 293, 297, 292, 311, 326, 283, 311, 310, 281, 294, 291, 310, 286, 290, 297.74
45, 432, 430, 460, 506, 459, 500, 530, 483, 492, 477, 494, 526, 508, 473, 466, 502, 439, 431, 523, 502, 488, 499, 470, 463, 460, 466, 519, 497, 474, 524, 503, 521, 507, 487, 493, 475, 471, 462, 458, 475, 515, 499, 476, 515, 514, 434, 477, 468, 523, 479, 484.9
50, 487, 471, 512, 464, 478, 523, 462, 504, 488, 496, 486, 510, 485, 460, 523, 460, 504, 508, 501, 1602, 3235, 2245, 3931, 3859, 3797, 3478, 2394, 2358, 2831, 1085, 502, 529, 867, 489, 505, 501, 464, 441, 469, 3845, 2289, 3165, 3516, 3011, 3555, 3609, 3470, 884, 461, 456, 1463.3
