200, 272, 465, 394, 666, 521, 422, 400, 516, 669, 519, 416, 397, 353, 614, 516, 538, 647, 531, 416, 381, 379, 388, 389, 663, 542, 582, 470, 392, 669, 580, 583, 660, 572, 635, 518, 418, 393, 728, 581, 581, 468, 706, 518, 415, 401, 352, 410, 394, 665, 544, 504.98
700, 306, 452, 358, 357, 412, 379, 387, 485, 465, 392, 387, 395, 394, 392, 394, 393, 490, 663, 441, 459, 387, 382, 375, 378, 389, 392, 504, 456, 386, 398, 389, 390, 440, 503, 409, 451, 496, 495, 386, 390, 378, 471, 387, 382, 377, 449, 500, 458, 385, 381, 419.3
1200, 315, 392, 420, 451, 425, 409, 402, 394, 402, 408, 411, 402, 393, 384, 386, 392, 384, 384, 392, 383, 385, 394, 697, 403, 388, 394, 405, 402, 405, 398, 389, 399, 402, 404, 394, 409, 396, 399, 401, 412, 393, 384, 386, 390, 401, 388, 383, 390, 396, 388, 402.08
1700, 343, 412, 415, 447, 414, 407, 411, 407, 420, 424, 433, 413, 407, 410, 409, 409, 415, 412, 408, 412, 409, 416, 408, 408, 412, 410, 414, 410, 410, 409, 410, 419, 424, 432, 444, 414, 410, 407, 409, 419, 412, 411, 408, 412, 409, 413, 410, 418, 408, 412, 412.7
2200, 371, 438, 431, 430, 428, 430, 434, 431, 428, 433, 428, 433, 429, 428, 432, 429, 429, 430, 438, 431, 430, 433, 430, 436, 434, 434, 703, 434, 447, 433, 434, 437, 452, 441, 438, 432, 437, 431, 433, 439, 433, 428, 432, 432, 439, 451, 434, 433, 432, 439, 438.04
2700, 411, 442, 442, 439, 444, 448, 454, 444, 443, 443, 713, 459, 462, 451, 449, 450, 450, 455, 450, 452, 457, 452, 453, 455, 450, 457, 452, 451, 467, 452, 451, 452, 451, 451, 465, 448, 456, 447, 451, 452, 454, 454, 458, 453, 459, 449, 451, 456, 453, 454, 456.24
3200, 438, 479, 464, 461, 465, 724, 468, 467, 466, 470, 465, 473, 468, 470, 471, 465, 470, 474, 466, 464, 466, 463, 462, 470, 467, 469, 468, 471, 465, 468, 467, 472, 463, 466, 468, 470, 465, 466, 467, 489, 466, 478, 476, 466, 476, 470, 472, 471, 470, 470, 473.3
3700, 477, 489, 492, 489, 489, 498, 485, 487, 486, 486, 486, 487, 761, 487, 495, 495, 487, 491, 496, 489, 494, 487, 484, 495, 491, 490, 503, 493, 495, 497, 498, 492, 504, 494, 490, 494, 491, 491, 490, 503, 490, 495, 488, 501, 491, 494, 488, 493, 493, 493, 497.08
4200, 502, 517, 510, 499, 500, 504, 503, 503, 502, 510, 503, 501, 503, 500, 504, 497, 506, 502, 508, 499, 511, 499, 505, 498, 500, 500, 502, 499, 499, 502, 503, 501, 759, 512, 504, 505, 502, 500, 507, 505, 504, 504, 501, 505, 503, 508, 503, 505, 508, 503, 508.6
4700, 504, 527, 526, 553, 521, 521, 521, 519, 519, 520, 525, 525, 526, 523, 524, 524, 524, 522, 526, 531, 522, 527, 523, 521, 522, 522, 524, 521, 521, 528, 523, 517, 524, 521, 519, 522, 532, 521, 523, 519, 521, 519, 529, 518, 519, 520, 522, 522, 563, 563, 524.58
