1, 4654, 4654, 4662, 4659, 4653, 4652, 4652, 4654, 4658, 4660, 4660, 4656, 4654, 4651, 4663, 4659, 4658, 4657, 4650, 4653, 4660, 4659, 4659, 4661, 4655, 4658, 4661, 4659, 4659, 4658, 4653, 4653, 4662, 4660, 4656, 4654, 4652, 4652, 4660, 4661, 4657, 4654, 4654, 4651, 4665, 4657, 4653, 4650, 4648, 4655, 4656.3
5, 5930, 5940, 5937, 5938, 5930, 5936, 5931, 5941, 5930, 5942, 5930, 5937, 5932, 5938, 5934, 5937, 5930, 5944, 5928, 5934, 6431, 5930, 5943, 5935, 5937, 5925, 5941, 5936, 5941, 5943, 5933, 5940, 5945, 5936, 5935, 5935, 5938, 5927, 5944, 5940, 5937, 5932, 5933, 5925, 5941, 5924, 5931, 10316, 8256, 5948, 6079.54
10, 5955, 5950, 5956, 5957, 5968, 5965, 5979, 5967, 5968, 5970, 5962, 5952, 5972, 5961, 5964, 5955, 5965, 5960, 5992, 5954, 5961, 5954, 5955, 5963, 5959, 5962, 5955, 5972, 5961, 5989, 5959, 5959, 5956, 5957, 5954, 5951, 6036, 18903, 23245, 6387, 6220, 5959, 5960, 5965, 5949, 5955, 5948, 6366, 5956, 5957, 6588.9
15, 5971, 5968, 5977, 5966, 5978, 5976, 6025, 5964, 5978, 5977, 5981, 5970, 5969, 5964, 5972, 5963, 5977, 5962, 5970, 5974, 6104, 5974, 5964, 5978, 5975, 5974, 5962, 5984, 5972, 5973, 5972, 5963, 5970, 5965, 5974, 5968, 5971, 5962, 5980, 5972, 5967, 5966, 5962, 5973, 5957, 5985, 5971, 5975, 5966, 5972, 5974.66
20, 5958, 8241, 5968, 5972, 5957, 5970, 5960, 5971, 5964, 5970, 5962, 5965, 5973, 5964, 5967, 5970, 5965, 5957, 5970, 5961, 5962, 5965, 5962, 5967, 5963, 6020, 5995, 5965, 5956, 5963, 5972, 5957, 5974, 5960, 5973, 5958, 5963, 5961, 6365, 6158, 5967, 5972, 5967, 5959, 5968, 6048, 5973, 5962, 5970, 5967, 6025.94
25, 8685, 8672, 8675, 8679, 8683, 8676, 8671, 8678, 8666, 8667, 8674, 8688, 8675, 8671, 8669, 8676, 8672, 8669, 8676, 8672, 8677, 8682, 8670, 8675, 8666, 8677, 8675, 8676, 8678, 8673, 8670, 8677, 8677, 8672, 8674, 8672, 8669, 8671, 8668, 8673, 8673, 8674, 8673, 8683, 8676, 8678, 8674, 8681, 8671, 8672, 8674.42
30, 8682, 8921, 8680, 8675, 8677, 8678, 8678, 8675, 8675, 8674, 8733, 8672, 8675, 8669, 8672, 8673, 8687, 8673, 8676, 8676, 8681, 8677, 8678, 8681, 8676, 8678, 8721, 8682, 8678, 8683, 8833, 8683, 8666, 8677, 8672, 8674, 8673, 8673, 8675, 8674, 8676, 8671, 8678, 11321, 8683, 8677, 8674, 8679, 8678, 8677, 8739.4
35, 8696, 8705, 8698, 8706, 8698, 8703, 8702, 8706, 8704, 8707, 8704, 8704, 8699, 8700, 8705, 8714, 8700, 8706, 8706, 8700, 8701, 8698, 8715, 8713, 8698, 8705, 8699, 8709, 8704, 8706, 8698, 8708, 8706, 8712, 8706, 8700, 8703, 8702, 8708, 8711, 8701, 8707, 8705, 8703, 8693, 8701, 8715, 8700, 8703, 8709, 8704.04
40, 8696, 8704, 8711, 9222, 8698, 8714, 8703, 8705, 8706, 8696, 8709, 8715, 8711, 8708, 8713, 8695, 8693, 8703, 8818, 8713, 8697, 9014, 8711, 8699, 8706, 8700, 8874, 8712, 8713, 8689, 8712, 8713, 8702, 8705, 8703, 8708, 8702, 8702, 8694, 8726, 8736, 8700, 8706, 8697, 8703, 8715, 8699, 8702, 8704, 8696, 8727.46
45, 14538, 14544, 14522, 14557, 14527, 14547, 14554, 14520, 14521, 14531, 14560, 14531, 14522, 14536, 14541, 14552, 14533, 14547, 14538, 14556, 14553, 14534, 14551, 14546, 14534, 14553, 14526, 14552, 14530, 14538, 14552, 14546, 14520, 14547, 14529, 14541, 14566, 14536, 14534, 14519, 14537, 14519, 14526, 14524, 14553, 14531, 14534, 14537, 15113, 14556, 14550.3
50, 31349, 31376, 31339, 26628, 17206, 17206, 17207, 17225, 17222, 17229, 17211, 17205, 17208, 17205, 17206, 17203, 17209, 17215, 17214, 17216, 17212, 17230, 17219, 17229, 17211, 17214, 22752, 24511, 29578, 17287, 17280, 17262, 17319, 17301, 17268, 17261, 17282, 17279, 17311, 17273, 17268, 17287, 17278, 17290, 17296, 17291, 17306, 17284, 17285, 17250, 18783.9
55, 17257, 17269, 17289, 17281, 17299, 17288, 17257, 17302, 17282, 17295, 17277, 17267, 17311, 17313, 17315, 17280, 17286, 17299, 17298, 17270, 17280, 17309, 17308, 17305, 17295, 17288, 17268, 17337, 17257, 17295, 17258, 17292, 17471, 17309, 17471, 17318, 20397, 27758, 29304, 30846, 23087, 17848, 17279, 17282, 17289, 17281, 17300, 17287, 17273, 17269, 18205.9
