1, 4625, 4623, 4622, 4643, 4643, 4625, 4620, 4621, 4621, 4630, 4628, 4623, 4622, 4621, 4621, 4627, 4627, 4626, 4620, 4623, 4620, 4627, 4624, 4626, 4625, 4624, 4620, 4619, 4631, 4624, 4623, 4623, 4622, 4622, 4627, 4625, 4620, 4621, 4618, 4620, 4636, 4626, 4620, 4622, 4621, 4620, 4629, 4629, 4626, 4624, 4624.5
5, 5916, 5924, 5928, 5931, 5955, 5927, 5918, 5925, 5918, 5954, 5915, 5924, 5917, 5928, 5919, 5935, 5926, 5929, 5917, 5932, 5924, 5933, 5919, 5930, 5922, 5924, 5921, 5931, 5923, 5930, 5922, 5925, 5921, 5929, 5913, 5929, 5917, 5930, 5915, 5927, 5921, 5928, 5920, 5929, 11025, 7523, 5929, 5918, 5915, 5920, 6059.02
10, 5938, 5940, 5943, 5932, 5948, 5945, 5926, 5947, 5932, 5941, 5923, 5942, 5936, 6337, 5938, 5940, 5934, 5966, 5934, 5941, 5936, 5939, 5938, 5943, 5941, 5947, 5947, 5938, 5937, 5935, 7434, 5933, 5941, 5931, 5936, 5948, 5926, 5942, 5930, 5942, 5933, 5936, 5929, 5934, 5943, 5943, 5940, 5946, 5925, 5944, 5976.4
15, 6362, 5931, 5950, 5946, 5938, 6355, 5940, 5946, 5938, 5950, 6381, 6422, 5945, 5939, 5947, 6131, 6461, 5944, 5942, 5947, 5940, 6411, 5931, 5948, 5940, 5948, 5936, 6374, 7506, 5967, 5942, 6599, 5938, 5943, 5937, 5944, 6430, 5937, 5942, 5933, 5948, 6398, 5941, 5939, 5933, 5937, 6207, 6429, 5937, 5946, 6087.52
20, 5955, 5964, 5959, 5948, 5964, 5953, 5975, 5947, 5965, 5959, 6392, 5970, 5959, 5951, 5953, 5979, 5962, 5970, 6262, 5964, 5958, 5952, 5965, 5955, 5970, 5969, 5974, 5965, 5959, 5964, 5973, 5969, 5953, 5955, 5969, 5952, 5966, 5950, 5961, 5960, 6134, 5964, 6081, 5965, 5956, 5976, 5964, 5966, 5950, 5968, 5982.28
25, 8650, 8654, 8654, 8654, 8657, 8663, 8654, 14444, 13049, 9154, 8753, 8658, 8662, 8658, 8659, 8651, 8719, 24177, 30554, 31669, 25547, 8656, 8656, 8671, 8658, 8653, 8653, 8654, 8662, 8663, 8652, 8663, 8653, 8652, 8656, 8654, 8652, 8655, 8658, 8660, 8655, 8654, 8651, 8662, 8659, 8656, 8652, 8668, 8658, 8658, 10419.9
30, 8660, 8663, 8664, 8663, 8660, 8655, 8668, 8666, 8701, 8665, 8667, 8659, 8658, 8667, 8662, 8668, 8664, 8666, 8673, 8663, 8662, 8716, 8678, 8673, 8654, 8668, 8663, 8661, 8663, 8665, 8666, 8660, 8659, 8660, 8972, 8660, 8662, 8666, 8668, 8707, 8673, 8659, 8666, 8660, 8673, 8658, 8671, 8663, 8666, 8673, 8673.14
35, 8667, 8700, 8670, 8677, 8694, 8677, 8677, 8684, 8678, 8681, 8704, 8678, 8680, 8702, 8672, 8674, 8670, 8670, 8668, 8677, 8674, 8675, 8707, 8668, 8675, 8688, 8671, 8678, 8676, 8674, 8666, 8687, 8708, 8666, 8691, 8676, 8667, 8683, 8673, 8841, 8669, 8677, 8970, 8672, 8677, 8673, 8700, 8678, 8679, 8681, 8688.4
40, 8695, 8697, 8711, 8684, 8690, 8685, 8700, 8781, 8690, 8694, 8696, 8691, 8687, 8699, 8685, 8692, 8687, 8693, 8695, 8687, 8698, 8689, 8685, 8697, 8693, 8690, 8689, 8694, 8690, 8738, 8696, 8693, 8689, 8844, 8699, 8699, 8696, 8684, 8693, 8701, 8689, 8693, 8699, 8687, 8688, 8698, 8683, 8710, 8687, 8843, 8701.46
45, 14476, 14481, 14483, 14629, 17713, 20894, 16160, 27153, 29076, 31411, 23986, 14590, 14505, 14475, 14521, 14498, 14485, 14508, 14482, 14571, 14486, 14528, 14495, 14488, 14569, 14482, 14489, 14479, 14483, 14496, 14517, 14518, 14477, 14480, 14480, 14473, 14509, 14484, 14630, 16083, 14518, 14503, 14498, 14482, 14484, 14495, 14483, 14477, 14479, 14496, 15833.2
50, 17219, 17208, 17207, 17212, 17226, 17216, 17209, 17211, 17212, 17221, 17213, 17222, 17218, 17210, 17237, 17232, 17217, 17227, 17211, 17219, 17211, 17235, 17205, 17230, 17230, 17223, 17226, 17212, 17213, 17213, 17221, 17212, 17228, 17227, 17221, 17216, 17217, 17221, 17223, 17201, 17222, 17216, 17210, 17224, 17211, 17212, 17209, 17208, 17201, 17209, 17217.1
55, 17231, 17214, 17223, 17216, 17223, 30348, 21140, 31271, 31270, 31269, 31264, 31279, 31268, 31277, 22640, 17249, 17228, 17244, 17255, 17215, 17246, 17225, 17238, 17215, 17217, 17227, 17220, 17239, 17234, 17232, 17247, 17276, 17225, 17228, 17238, 17231, 17235, 17239, 17254, 17235, 17235, 17216, 17237, 17228, 17214, 17229, 17215, 17270, 17236, 17252, 19647.1
60, 17278, 17280, 17274, 17268, 17297, 17265, 17263, 18029, 29778, 30911, 17412, 17302, 17396, 17298, 17323, 17271, 17284, 17274, 17280, 17274, 17297, 17274, 17286, 17288, 17282, 17291, 17287, 17289, 17288, 17302, 17276, 17285, 17267, 17329, 17291, 17293, 17287, 17288, 17281, 17285, 17281, 17288, 17265, 17281, 17283, 17406, 17282, 17291, 17264, 17288, 17829
65, 17279, 17275, 17282, 17284, 17272, 17280, 17285, 17281, 17278, 17271, 17268, 17269, 17273, 17276, 17272, 17267, 17345, 17952, 17284, 17289, 57961, 41564, 24697, 17288, 17312, 17309, 17299, 17306, 17298, 17277, 17307, 17292, 17297, 17294, 17288, 17280, 17299, 17294, 17302, 17286, 17302, 17297, 17278, 17284, 17297, 17298, 17298, 17294, 17296, 17288, 18749.3
70, 17301, 17280, 17305, 17288, 17297, 17300, 17306, 17301, 17311, 17418, 17294, 17299, 17301, 17309, 17294, 17278, 17294, 17291, 17307, 17282, 17291, 17346, 17300, 17296, 17308, 17316, 17310, 17296, 17293, 17290, 17299, 17604, 17354, 17291, 17515, 17308, 17306, 17302, 17295, 17301, 17312, 17304, 17287, 17334, 17297, 17291, 17298, 17281, 17300, 17287, 17313.4
75, 17315, 17293, 17299, 17417, 17308, 17307, 17308, 17291, 17295, 17340, 17314, 17307, 17300, 17302, 17635, 17295, 17305, 17290, 17282, 17304, 17313, 17300, 17310, 17303, 17302, 17302, 17294, 17286, 17295, 17310, 17305, 17331, 17291, 17304, 24204, 49672, 26736, 33177, 22992, 31012, 22442, 17308, 17748, 17315, 17294, 17288, 17304, 17294, 17409, 17358, 19106.1
80, 17346, 17363, 17374, 17357, 17333, 17327, 17345, 17357, 17505, 17349, 17328, 17339, 17352, 17360, 17350, 17350, 17337, 17363, 17341, 17363, 17384, 17332, 17338, 17327, 17373, 17356, 17369, 17338, 17358, 17356, 17354, 17362, 17330, 17354, 17325, 17392, 17354, 17366, 17336, 17357, 17348, 17363, 17302, 17347, 17820, 17464, 17376, 17357, 17333, 17357, 17365.3
85, 25832, 25849, 25851, 25833, 25846, 25863, 25841, 25852, 25837, 25833, 25826, 25841, 25830, 25861, 25852, 25866, 27166, 42180, 38332, 38271, 25973, 26284, 25871, 25874, 25841, 25873, 25835, 25832, 25835, 25851, 25842, 25841, 25847, 25841, 25864, 25841, 25832, 26048, 25853, 25847, 25848, 25867, 25858, 25860, 25834, 25846, 25834, 25846, 25842, 25847, 26713.4
90, 25836, 25834, 25823, 25846, 25823, 25840, 25807, 25834, 25836, 25841, 25838, 25830, 25811, 25838, 25851, 25829, 25814, 25833, 25825, 25828, 25807, 25852, 25859, 25855, 25839, 25859, 25828, 25839, 25835, 25857, 25834, 25836, 25929, 25847, 25865, 25834, 25822, 25851, 25831, 25847, 25836, 25810, 25826, 25830, 25827, 25860, 25857, 25849, 25839, 25861, 25838.8
95, 25898, 25885, 25886, 25994, 25912, 25891, 25870, 25890, 25889, 25918, 25932, 25899, 25916, 25875, 25901, 25922, 25892, 25881, 25910, 26083, 25910, 25906, 25898, 25902, 25905, 25925, 25890, 25909, 25907, 25914, 25864, 25892, 25886, 25883, 25891, 25889, 25917, 25902, 25897, 26564, 30076, 25890, 25884, 25864, 25860, 25879, 25894, 25868, 26096, 25882, 26001.8
100, 25899, 25897, 25886, 25888, 25908, 25877, 25874, 34513, 36390, 65331, 26328, 25894, 25875, 25894, 25883, 25868, 25892, 25855, 25869, 25891, 25884, 25878, 25877, 25864, 25880, 25886, 25883, 25868, 25882, 25891, 25864, 25865, 25873, 25873, 25867, 25885, 25881, 25877, 25891, 25890, 25882, 25903, 26222, 25889, 25875, 25885, 25868, 25882, 25887, 25858, 27068.4
105, 25880, 25874, 25919, 25882, 25890, 25889, 25932, 25867, 25872, 25895, 25873, 25898, 25879, 25937, 25902, 25894, 25899, 25877, 25893, 25878, 25976, 25875, 25881, 25880, 25881, 25886, 25914, 25884, 25955, 25877, 25939, 25881, 25904, 25873, 26060, 26036, 25887, 25889, 25893, 25889, 25907, 25872, 25969, 25885, 25889, 25898, 25879, 25904, 25901, 25886, 25901.6
110, 25913, 25905, 25901, 25902, 25907, 25916, 25911, 25955, 25917, 25912, 25906, 25918, 25976, 25913, 25944, 25900, 25913, 25912, 25886, 25892, 25912, 25969, 25906, 25910, 25911, 25888, 25941, 25916, 25996, 25910, 25909, 25910, 25912, 25910, 25915, 25879, 25971, 25914, 25919, 25891, 25910, 25911, 25894, 25966, 25886, 25928, 25911, 25904, 25905, 25919, 25916.4
115, 41470, 37993, 25923, 25900, 25924, 25921, 25912, 25948, 25914, 25908, 25913, 25920, 25916, 25903, 25967, 25916, 25935, 26101, 25910, 25927, 25901, 25928, 25911, 25912, 25910, 25904, 25917, 25914, 25924, 25962, 25914, 25930, 25907, 25933, 25910, 25911, 25958, 25913, 25916, 25913, 25893, 25918, 25911, 25967, 25931, 25910, 25904, 25917, 25921, 25915, 26475.9
120, 25941, 25962, 26062, 28494, 25961, 25949, 25958, 25955, 25966, 26079, 25960, 25956, 25949, 25943, 25929, 25935, 25940, 25944, 25932, 25942, 25949, 25953, 25929, 25966, 25938, 26121, 25961, 25941, 25959, 25936, 25954, 25940, 25948, 25955, 25953, 25938, 25933, 25934, 25993, 25941, 25960, 35139, 53717, 50273, 51538, 25936, 26236, 25963, 25952, 25971, 27751.7
125, 34459, 34445, 34499, 34416, 34455, 34450, 34433, 34406, 34467, 34443, 34448, 34435, 34489, 34427, 34445, 34449, 34438, 34429, 34413, 34447, 34447, 34461, 34466, 34440, 34417, 34463, 34451, 34427, 34453, 34478, 34449, 34470, 34426, 34455, 34478, 34467, 34492, 34448, 34444, 34426, 34476, 34471, 34435, 34430, 34421, 34456, 34430, 34457, 34450, 34419, 34447.9
130, 34437, 34452, 34453, 34473, 34464, 34449, 34455, 34631, 34513, 34467, 34435, 34466, 34423, 34439, 34449, 34505, 34464, 34460, 34432, 34442, 34435, 34455, 34445, 34447, 34463, 34467, 34440, 34446, 34625, 34463, 34458, 34472, 34470, 34423, 34460, 34435, 34448, 34467, 34454, 34451, 34434, 34439, 34470, 34440, 34493, 34422, 34457, 34468, 34438, 34489, 34461.7
