1, 4662, 4661, 4658, 4658, 4660, 4660, 4653, 4659, 4658, 4654, 4659, 4666, 4661, 4660, 4659, 4656, 4657, 4665, 4659, 4660, 4653, 4655, 4654, 4662, 4660, 4661, 4658, 4659, 4653, 4659, 4660, 4659, 4657, 4655, 4657, 4659, 4655, 4658, 4656, 4655, 4657, 4661, 4659, 4660, 4658, 4656, 4653, 4660, 4661, 4661, 4658.32
5, 5920, 5924, 5915, 5929, 5914, 5925, 5914, 5920, 5915, 5926, 5908, 5969, 5919, 5922, 5921, 5923, 5918, 5939, 5917, 5987, 5998, 5933, 5916, 5926, 5915, 5924, 5912, 5928, 5921, 5923, 5915, 5925, 5918, 5926, 5912, 5917, 5917, 5929, 5915, 5929, 5914, 5923, 5918, 5922, 5913, 5962, 5921, 5925, 5912, 10026, 6007.2
10, 5985, 5945, 5951, 5939, 5944, 5948, 5989, 5954, 5937, 5953, 5936, 5946, 6081, 5955, 5942, 5953, 5943, 5953, 5939, 5958, 5936, 5952, 5936, 6440, 5953, 5948, 5953, 5952, 5948, 5954, 5960, 5942, 6040, 5942, 5946, 5941, 5953, 5937, 5956, 5946, 5972, 5948, 5954, 5935, 6164, 6195, 5990, 5985, 5941, 5958, 5974.56
15, 5954, 5949, 5958, 7525, 6656, 16854, 31800, 21739, 29853, 31802, 31801, 31803, 5943, 5951, 5935, 5956, 5943, 5952, 5945, 5948, 5949, 5950, 5966, 5943, 5944, 5943, 5974, 5940, 5949, 5980, 5949, 5945, 5981, 5933, 6017, 5942, 5975, 5995, 5947, 5963, 5966, 5975, 5973, 5987, 5938, 5986, 5965, 5952, 6007, 5940, 9082.82
20, 5984, 5972, 5965, 5988, 5959, 6039, 5974, 5975, 5983, 5973, 5974, 5969, 5969, 5968, 5997, 5987, 5981, 5984, 5966, 5979, 5971, 5981, 5970, 5980, 5974, 6019, 5965, 5970, 5975, 5971, 6028, 6112, 5973, 5983, 5976, 8056, 6000, 5974, 5984, 5982, 5975, 6259, 6548, 5968, 5965, 5986, 5977, 5970, 5971, 5969, 6040.36
25, 8634, 8635, 8633, 8645, 8638, 8639, 8632, 8674, 8640, 8642, 8647, 8633, 8640, 8643, 8643, 8636, 8634, 8940, 8644, 8638, 8638, 8645, 8640, 24090, 8635, 8635, 8637, 8638, 8637, 8640, 8638, 8638, 8637, 8637, 8643, 8643, 8631, 8645, 8642, 8632, 8641, 8641, 8636, 8635, 8634, 8638, 8646, 8639, 8637, 8638, 8954.32
30, 8706, 8676, 8670, 8685, 8681, 8667, 8672, 8686, 8681, 8675, 8678, 8683, 8673, 8681, 8863, 8675, 8687, 8681, 8689, 8671, 8676, 8676, 8676, 8676, 8668, 8674, 8675, 8674, 8672, 8681, 8669, 8678, 8907, 8678, 8681, 8782, 8878, 8685, 8681, 8730, 8689, 9146, 8883, 8761, 8678, 8683, 8674, 9005, 8683, 8680, 8715.58
35, 8689, 8697, 8683, 8683, 8696, 8680, 8789, 8687, 8755, 8682, 8689, 8676, 8712, 8684, 8680, 8675, 8677, 8721, 8689, 8679, 8678, 8682, 8683, 8681, 8684, 8770, 8744, 8675, 8677, 8679, 8667, 8681, 9098, 8824, 8889, 8678, 8726, 8838, 8678, 8691, 8684, 8695, 8675, 8688, 8694, 8955, 8695, 8669, 8727, 8678, 8716.12
40, 8776, 8769, 8775, 9013, 8763, 8770, 8774, 8781, 8768, 8767, 8769, 8786, 8775, 8782, 8779, 8759, 8772, 8777, 8772, 8761, 8772, 8766, 8767, 8774, 8776, 8781, 8769, 8768, 8760, 8763, 8771, 8773, 8776, 8778, 8779, 8773, 8776, 8782, 8763, 8779, 8779, 8764, 8862, 8775, 8781, 8773, 8782, 8762, 8778, 8767, 8779.14
45, 14523, 14525, 14536, 14568, 14558, 14538, 14538, 14542, 14554, 14561, 14548, 14552, 14532, 14533, 14525, 14541, 14519, 14552, 14526, 14526, 14532, 14542, 14574, 14536, 14527, 14537, 14532, 14534, 14532, 14552, 14520, 14526, 14533, 14526, 14522, 14639, 14563, 14517, 14522, 14523, 14552, 14555, 14544, 14555, 14541, 14537, 14529, 14523, 14603, 14530, 14541.1
50, 28204, 31002, 31334, 41468, 31347, 21210, 23980, 14653, 14529, 14514, 14522, 14865, 14536, 14548, 14537, 14526, 14516, 14522, 14528, 14522, 14571, 14590, 14524, 14521, 14531, 14526, 14522, 14522, 14521, 14532, 14525, 14518, 14512, 14541, 14585, 14520, 14525, 14513, 14526, 14530, 14518, 14523, 14527, 14531, 14526, 14519, 14549, 14577, 14527, 14520, 16676.7
55, 17282, 17286, 17275, 17263, 17260, 17275, 17283, 17267, 17258, 17270, 17278, 17273, 17277, 17273, 17265, 17414, 17276, 17279, 17291, 17277, 17278, 17282, 17279, 17272, 17263, 17280, 17294, 17273, 17286, 17268, 17271, 17312, 17264, 17270, 17278, 17256, 17263, 17269, 17287, 17256, 17395, 17273, 17273, 17267, 17281, 17283, 17276, 17277, 17281, 17271, 17280
60, 17270, 20812, 34066, 17289, 17272, 17298, 17272, 17273, 17270, 17450, 17274, 28833, 41484, 17300, 17288, 17264, 17268, 17351, 17307, 17285, 17272, 25168, 20338, 32926, 35384, 31208, 31201, 31201, 31217, 26677, 17271, 17381, 17349, 17318, 17278, 17270, 17264, 17278, 17278, 17263, 17263, 17248, 17276, 17269, 17302, 17272, 17250, 17246, 17266, 17253, 20602.3
65, 17314, 17352, 17306, 17416, 17349, 17373, 17336, 17300, 17312, 17319, 17337, 17310, 17329, 17317, 17305, 17300, 17308, 17308, 17320, 17300, 17319, 17314, 17368, 17303, 17301, 17330, 17315, 17311, 17317, 17317, 17312, 17541, 17313, 17314, 17314, 17344, 17319, 17310, 17287, 17314, 17318, 17314, 17294, 17322, 17304, 17328, 17333, 17307, 17322, 17321, 17324.7
70, 17314, 17334, 17287, 17327, 17359, 17342, 17347, 17323, 17339, 17373, 17339, 17333, 17395, 17346, 17459, 17321, 17297, 17295, 17337, 17322, 17334, 17313, 17345, 17347, 17343, 17311, 17326, 17337, 17326, 17320, 25982, 41986, 29946, 37668, 17376, 17319, 17351, 17362, 17320, 17338, 17351, 17322, 17330, 17322, 17346, 17359, 17861, 30319, 21977, 17363, 19025.8
